"@timestamp","agent.name",message
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:48 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:48 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:49 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:49.387","filebeat-ssh","Oct 24 15:13:49 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:47.573","filebeat-honeypot","2022/10/24 15:13:45 [172.18.0.5:39736] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:47.573","filebeat-honeypot","2022/10/24 15:13:46 [172.18.0.5:39740] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:47.573","filebeat-honeypot","2022/10/24 15:13:46 [172.18.0.5:39744] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:47.573","filebeat-honeypot","2022/10/24 15:13:47 [172.18.0.5:39748] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:45 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:45 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:46 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:46 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:46 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:46 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:47 ssh sshd: pam_unix(sshd:auth): check pass; user unknown"
"Oct 24, 2022 @ 23:13:47.387","filebeat-ssh","Oct 24 15:13:47 ssh sshd: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=172.18.0.5 "
"Oct 24, 2022 @ 23:13:45.573","filebeat-honeypot","2022/10/24 15:13:44 [172.18.0.5:39724] authentication for user ""backup"" with public key ""SHA256:kOAWI6TohqpqkFc6K5Jr9o8jgzqHjDUCx2eCLct2GgI"" rejected"
