@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,629,625,625,10.10.10.20,7,"3,306","238,140","Oct 24, 2022 @ 23:24:45.138","Oct 24, 2022 @ 23:24:45.138",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"53,408"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,621,478,478,10.10.10.20,5,"3,306","267,570","Oct 24, 2022 @ 23:24:45.138","Oct 24, 2022 @ 23:24:45.138",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"53,422"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,"1,548","3,687","3,687",123.123.123.123,6,80,"1,350,756","Oct 24, 2022 @ 23:24:45.139","Oct 24, 2022 @ 23:24:45.138",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"5,235",15,tcp,ipv4,"1,548",123.123.123.3,9,"42,698"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,"1,079","1,565","1,565",10.10.10.20,8,"3,306","430,750","Oct 24, 2022 @ 23:24:45.139","Oct 24, 2022 @ 23:24:45.139",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,644",18,tcp,ipv4,"1,079",10.10.10.10,10,"53,432"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,621,478,478,10.10.10.20,5,"3,306","173,590","Oct 24, 2022 @ 23:24:45.139","Oct 24, 2022 @ 23:24:45.139",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"53,436"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,801,"3,161","3,161",123.123.123.123,4,80,"425,640","Oct 24, 2022 @ 23:24:45.140","Oct 24, 2022 @ 23:24:45.139",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"3,962",10,tcp,ipv4,801,123.123.123.3,6,"42,700"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,819,"1,978","1,978",123.123.123.123,4,80,"1,021,049","Oct 24, 2022 @ 23:24:45.141","Oct 24, 2022 @ 23:24:45.140",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,797",10,tcp,ipv4,819,123.123.123.3,6,"42,714"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,697,557,557,10.10.10.20,6,"3,306","475,919","Oct 24, 2022 @ 23:24:45.140","Oct 24, 2022 @ 23:24:45.140",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"53,450"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,553,546,546,10.10.10.20,6,"3,306","188,000","Oct 24, 2022 @ 23:24:45.141","Oct 24, 2022 @ 23:24:45.140",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"53,458"
"Oct 24, 2022 @ 23:25:00.001",dvwa_web,813,"1,971","1,971",123.123.123.123,4,80,"1,070,480","Oct 24, 2022 @ 23:24:45.142","Oct 24, 2022 @ 23:24:45.141",connection,False,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,784",10,tcp,ipv4,813,123.123.123.3,6,"42,722"
