@timestamp,agent.hostname,bytes_in,bytes_out,destination.bytes,destination.ip,destination.packets,destination.port,event.duration,event.end,event.start,event.type,flow.final,host.id,host.ip,host.mac,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.type,host.os.version,network.bytes,network.packets,network.transport,network.type,source.bytes,source.ip,source.packets,source.port
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,553,546,546,10.10.10.20,6,"3,306","103,880","Oct 24, 2022 @ 23:26:22.799","Oct 24, 2022 @ 23:26:22.799",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"59,760"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,432,611,611,127.0.0.1,6,"3,306","220,229","Oct 24, 2022 @ 23:26:23.822","Oct 24, 2022 @ 23:26:23.822",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"50,020"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,629,625,625,10.10.10.20,7,"3,306","304,960","Oct 24, 2022 @ 23:26:31.502","Oct 24, 2022 @ 23:26:31.502",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"59,772"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,553,546,546,10.10.10.20,6,"3,306","161,910","Oct 24, 2022 @ 23:26:31.502","Oct 24, 2022 @ 23:26:31.502",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"59,774"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,"1,079","1,565","1,565",10.10.10.20,8,"3,306","348,019","Oct 24, 2022 @ 23:26:31.503","Oct 24, 2022 @ 23:26:31.502",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"2,644",18,tcp,ipv4,"1,079",10.10.10.10,10,"59,784"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,621,478,478,10.10.10.20,5,"3,306","254,579","Oct 24, 2022 @ 23:26:31.503","Oct 24, 2022 @ 23:26:31.502",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"59,796"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,629,625,625,10.10.10.20,7,"3,306","183,850","Oct 24, 2022 @ 23:26:31.503","Oct 24, 2022 @ 23:26:31.503",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,254",14,tcp,ipv4,629,10.10.10.10,7,"59,800"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,553,546,546,10.10.10.20,6,"3,306","102,520","Oct 24, 2022 @ 23:26:31.503","Oct 24, 2022 @ 23:26:31.503",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"59,814"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,432,611,611,127.0.0.1,6,"3,306","157,870","Oct 24, 2022 @ 23:26:34.066","Oct 24, 2022 @ 23:26:34.066",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"57,328"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,432,611,611,127.0.0.1,6,"3,306","113,660","Oct 24, 2022 @ 23:26:43.790","Oct 24, 2022 @ 23:26:43.790",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,043",11,tcp,ipv4,432,127.0.0.1,5,"56,484"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,"3,226,231","82,972","82,972",10.10.10.110,360,"9,200","499,712,429,869","Oct 24, 2022 @ 23:26:41.230","Oct 24, 2022 @ 23:18:21.517",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"3,309,203","1,021",tcp,ipv4,"3,226,231",10.10.10.20,661,"56,600"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,"1,064,494","58,595","58,595",10.10.10.110,220,"9,200","500,223,219,857","Oct 24, 2022 @ 23:26:47.886","Oct 24, 2022 @ 23:18:27.663",connection,False,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),"1,123,089",639,tcp,ipv4,"1,064,494",10.10.10.20,419,"56,606"
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,72,-,-,ff02::2,-,-,0,"Oct 24, 2022 @ 23:25:50.542","Oct 24, 2022 @ 23:25:50.542","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),72,1,ipv6-icmp,ipv6,72,fe80::11:48ff:fe86:2f5b,1,-
"Oct 24, 2022 @ 23:26:50.002",dvwa_db,109,-,-,ff02::fb,-,"5,353",0,"Oct 24, 2022 @ 23:26:16.142","Oct 24, 2022 @ 23:26:16.142","connection, end",True,-,10.10.10.20,02:42:0a:0a:0a:14,jammy,debian,5.15.0-52-generic,Ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),109,1,udp,ipv6,109,fe80::11:48ff:fe86:2f5b,1,"5,353"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,551,950,950,127.0.0.1,5,80,"5,112,382,381","Oct 24, 2022 @ 23:25:52.814","Oct 24, 2022 @ 23:25:47.701","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,501",10,tcp,ipv4,551,127.0.0.1,5,"34,172"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,735,"1,462","1,462",123.123.123.123,4,80,"682,209","Oct 24, 2022 @ 23:25:53.326","Oct 24, 2022 @ 23:25:53.326","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,197",10,tcp,ipv4,735,123.123.123.3,6,"50,452"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,697,557,557,10.10.10.20,6,"3,306","279,389","Oct 24, 2022 @ 23:25:53.326","Oct 24, 2022 @ 23:25:53.326","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,254",14,tcp,ipv4,697,10.10.10.10,8,"55,270"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,621,478,478,10.10.10.20,5,"3,306","116,340","Oct 24, 2022 @ 23:25:53.326","Oct 24, 2022 @ 23:25:53.326","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,621,10.10.10.10,7,"55,282"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,"1,548","3,687","3,687",123.123.123.123,6,80,"1,702,847","Oct 24, 2022 @ 23:25:53.328","Oct 24, 2022 @ 23:25:53.326","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"5,235",15,tcp,ipv4,"1,548",123.123.123.3,9,"50,460"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,"1,011","1,633","1,633",10.10.10.20,9,"3,306","284,170","Oct 24, 2022 @ 23:25:53.327","Oct 24, 2022 @ 23:25:53.327","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"2,644",18,tcp,ipv4,"1,011",10.10.10.10,9,"55,292"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,553,546,546,10.10.10.20,6,"3,306","169,450","Oct 24, 2022 @ 23:25:53.327","Oct 24, 2022 @ 23:25:53.327","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"55,308"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,814,"2,242","2,242",123.123.123.123,4,80,"3,046,036","Oct 24, 2022 @ 23:25:53.331","Oct 24, 2022 @ 23:25:53.328","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"3,056",10,tcp,ipv4,814,123.123.123.3,6,"50,470"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,805,799,799,10.10.10.20,7,"3,306","258,209","Oct 24, 2022 @ 23:25:53.329","Oct 24, 2022 @ 23:25:53.329","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,604",16,tcp,ipv4,805,10.10.10.10,9,"55,310"
"Oct 24, 2022 @ 23:26:50.002",dvwa_web,553,546,546,10.10.10.20,6,"3,306","130,610","Oct 24, 2022 @ 23:25:53.329","Oct 24, 2022 @ 23:25:53.329","connection, end",True,bc7bc6b9453f4089b9bfee6b38b5fc6f,"123.123.123.123, 10.10.10.10","02:42:0a:0a:0a:0a, 02:42:7b:7b:7b:7b",bullseye,debian,5.15.0-52-generic,Debian GNU/Linux,linux,11 (bullseye),"1,099",12,tcp,ipv4,553,10.10.10.10,6,"55,314"
