date,time,action,protocol,src-ip,dst-ip,src-port,dst-port,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,info,path,pid
25/10/2022,00:51:40,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:40,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:40,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:41,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:41,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:41,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:42,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:42,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:42,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:43,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:43,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:43,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:44,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:44,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:44,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:45,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:45,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:45,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:46,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:46,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:46,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:47,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:47,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:47,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:48,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:48,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:48,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:49,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:49,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:49,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:50,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:50,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:50,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:51,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:51,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:51,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:52,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:52,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:52,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:53,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:53,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:53,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:54,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:54,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:54,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:55,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:55,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:55,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:56,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:56,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:56,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:57,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:57,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:57,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:58,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:58,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:58,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:51:59,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:51:59,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:51:59,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:00,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:00,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:00,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:01,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:01,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:01,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:02,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:02,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:02,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:03,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:03,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:03,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:04,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:04,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:04,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:05,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:05,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:05,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:06,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:06,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:06,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:07,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:07,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:07,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:08,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:08,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
25/10/2022,00:52:08,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,0,0,-,RECEIVE,4
25/10/2022,00:52:09,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,SEND,4792
25/10/2022,00:52:09,ALLOW,ICMP,192.168.106.130,192.168.236.1,-,-,0,-,-,-,-,8,0,-,RECEIVE,4
