@timestamp,Classification,Date,JobType,LogType,Month,Path,Time,User,host.os.version.keyword,log.file.path
"Oct 25, 2022 @ 23:17:11.499",SERVICE,25,CMD,CRON[3350]:,Oct,/usr/bin/config/rsyslog.sh,15:17:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:16:07.492",MONITOR,25,CMD,CRON[3302]:,Oct,/usr/bin/config/checkAdmin.sh,15:16:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:16:07.492",MONITOR,25,CMD,CRON[3303]:,Oct,/usr/bin/config/checkElk.sh,15:16:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:16:07.492",MONITOR,25,CMD,CRON[3308]:,Oct,/usr/bin/config/checkDev.sh,15:16:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:16:07.492",MONITOR,25,CMD,CRON[3310]:,Oct,/usr/bin/config/checkDb.sh,15:16:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:16:07.492",SERVICE,25,CMD,CRON[3315]:,Oct,/usr/bin/config/rsyslog.sh,15:16:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:15:03.485",MONITOR,25,CMD,CRON[3267]:,Oct,/usr/bin/config/checkDb.sh,15:15:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:15:03.485",MONITOR,25,CMD,CRON[3266]:,Oct,/usr/bin/config/checkDev.sh,15:15:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:15:03.485",MONITOR,25,CMD,CRON[3268]:,Oct,/usr/bin/config/checkElk.sh,15:15:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:15:03.485",SERVICE,25,CMD,CRON[3270]:,Oct,/usr/bin/config/rsyslog.sh,15:15:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:15:03.484",MONITOR,25,CMD,CRON[3263]:,Oct,/usr/bin/config/checkAdmin.sh,15:15:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:14:09.479",MONITOR,25,CMD,CRON[3228]:,Oct,/usr/bin/config/checkDb.sh,15:14:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:14:09.479",MONITOR,25,CMD,CRON[3229]:,Oct,/usr/bin/config/checkElk.sh,15:14:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:14:09.479",SERVICE,25,CMD,CRON[3233]:,Oct,/usr/bin/config/rsyslog.sh,15:14:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:14:09.478",MONITOR,25,CMD,CRON[3224]:,Oct,/usr/bin/config/checkAdmin.sh,15:14:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:14:09.478",MONITOR,25,CMD,CRON[3227]:,Oct,/usr/bin/config/checkDev.sh,15:14:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:13:05.473",SERVICE,25,CMD,CRON[3194]:,Oct,/usr/bin/config/rsyslog.sh,15:13:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:13:05.472",MONITOR,25,CMD,CRON[3185]:,Oct,/usr/bin/config/checkDb.sh,15:13:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:13:05.472",MONITOR,25,CMD,CRON[3186]:,Oct,/usr/bin/config/checkAdmin.sh,15:13:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:13:05.472",MONITOR,25,CMD,CRON[3189]:,Oct,/usr/bin/config/checkElk.sh,15:13:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:13:05.472",MONITOR,25,CMD,CRON[3192]:,Oct,/usr/bin/config/checkDev.sh,15:13:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:12:01.462",MONITOR,25,CMD,CRON[3147]:,Oct,/usr/bin/config/checkDb.sh,15:12:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:12:01.462",MONITOR,25,CMD,CRON[3146]:,Oct,/usr/bin/config/checkAdmin.sh,15:12:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:12:01.462",MONITOR,25,CMD,CRON[3150]:,Oct,/usr/bin/config/checkElk.sh,15:12:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:12:01.462",MONITOR,25,CMD,CRON[3151]:,Oct,/usr/bin/config/checkDev.sh,15:12:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:12:01.462",SERVICE,25,CMD,CRON[3154]:,Oct,/usr/bin/config/rsyslog.sh,15:12:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:11:07.451",MONITOR,25,CMD,CRON[3107]:,Oct,/usr/bin/config/checkAdmin.sh,15:11:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:11:07.451",SERVICE,25,CMD,CRON[3108]:,Oct,/usr/bin/config/rsyslog.sh,15:11:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:11:07.451",MONITOR,25,CMD,CRON[3111]:,Oct,/usr/bin/config/checkDev.sh,15:11:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:11:07.451",MONITOR,25,CMD,CRON[3114]:,Oct,/usr/bin/config/checkDb.sh,15:11:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:11:07.451",MONITOR,25,CMD,CRON[3115]:,Oct,/usr/bin/config/checkElk.sh,15:11:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:10:03.443",MONITOR,25,CMD,CRON[3068]:,Oct,/usr/bin/config/checkAdmin.sh,15:10:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:10:03.443",MONITOR,25,CMD,CRON[3071]:,Oct,/usr/bin/config/checkElk.sh,15:10:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:10:03.443",MONITOR,25,CMD,CRON[3069]:,Oct,/usr/bin/config/checkDb.sh,15:10:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:10:03.443",SERVICE,25,CMD,CRON[3072]:,Oct,/usr/bin/config/rsyslog.sh,15:10:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:10:03.443",MONITOR,25,CMD,CRON[3070]:,Oct,/usr/bin/config/checkDev.sh,15:10:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:09:09.405",SERVICE,25,CMD,CRON[2962]:,Oct,/usr/bin/config/rsyslog.sh,15:09:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:09:09.405",MONITOR,25,CMD,CRON[2963]:,Oct,/usr/bin/config/checkAdmin.sh,15:09:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:09:09.405",MONITOR,25,CMD,CRON[2964]:,Oct,/usr/bin/config/checkDev.sh,15:09:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:09:09.405",MONITOR,25,CMD,CRON[2965]:,Oct,/usr/bin/config/checkDb.sh,15:09:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:09:09.405",MONITOR,25,CMD,CRON[2969]:,Oct,/usr/bin/config/checkElk.sh,15:09:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
"Oct 25, 2022 @ 23:08:05.394",SERVICE,25,CMD,CRON[2922]:,Oct,/usr/bin/config/rsyslog.sh,15:08:01,(root),22.04.1 LTS (Jammy Jellyfish),/var/log/cron.log
